province,average
beijing,70
shandong,97
hunan,64
guangxi,38
qinghai,79
jiangsu,58
ningxia,84
sichuan,66
shan3xi,106
liaoning,80
guangdong,56
jilin,67
anhui,68
tianjin,78
shanghai,36
xizang,24
gansu,119
hebei,112
hainan,22
neimenggu,81
haerbin,78
yunnan,48
hubei,88
zhejiang,36
chongqing,70
xinjiang,180
henan,137
shan1xi,78
guizhou,52
fujian,31
jiangxi,54
