province,average
beijing,15
shandong,48
hunan,34
guangxi,42
qinghai,61
jiangsu,48
ningxia,48
sichuan,54
shan3xi,36
liaoning,53
guangdong,30
jilin,71
anhui,41
tianjin,16
shanghai,39
xizang,36
gansu,52
hebei,31
hainan,15
neimenggu,37
haerbin,36
yunnan,54
hubei,33
zhejiang,45
chongqing,33
xinjiang,77
henan,39
shan1xi,32
guizhou,56
fujian,33
jiangxi,36
