province,average
beijing,64
shandong,45
hunan,46
guangxi,29
qinghai,43
jiangsu,57
ningxia,73
sichuan,54
shan3xi,46
liaoning,58
guangdong,29
jilin,72
anhui,46
tianjin,53
shanghai,62
xizang,30
gansu,65
hebei,58
hainan,19
neimenggu,74
haerbin,60
yunnan,38
hubei,43
zhejiang,63
chongqing,32
xinjiang,83
henan,83
shan1xi,50
guizhou,46
fujian,62
jiangxi,49
