province,average
beijing,144
shandong,71
hunan,74
guangxi,63
qinghai,119
jiangsu,70
ningxia,88
sichuan,104
shan3xi,102
liaoning,57
guangdong,65
jilin,52
anhui,63
tianjin,75
shanghai,81
xizang,29
gansu,129
hebei,93
hainan,22
neimenggu,98
haerbin,61
yunnan,74
hubei,85
zhejiang,73
chongqing,130
xinjiang,61
henan,103
shan1xi,86
guizhou,89
fujian,88
jiangxi,65
