province,average
beijing,70
shandong,58
hunan,48
guangxi,38
qinghai,57
jiangsu,73
ningxia,46
sichuan,51
shan3xi,68
liaoning,62
guangdong,34
jilin,57
anhui,66
tianjin,67
shanghai,49
xizang,29
gansu,67
hebei,54
hainan,24
neimenggu,67
haerbin,51
yunnan,36
hubei,73
zhejiang,69
chongqing,53
xinjiang,55
henan,71
shan1xi,59
guizhou,40
fujian,47
jiangxi,72
