province,average
beijing,40
shandong,48
hunan,32
guangxi,34
qinghai,59
jiangsu,39
ningxia,51
sichuan,46
shan3xi,45
liaoning,47
guangdong,41
jilin,49
anhui,48
tianjin,44
shanghai,39
xizang,31
gansu,64
hebei,40
hainan,25
neimenggu,51
haerbin,41
yunnan,45
hubei,38
zhejiang,42
chongqing,24
xinjiang,81
henan,48
shan1xi,50
guizhou,37
fujian,29
jiangxi,30
