province,average
beijing,78
shandong,55
hunan,29
guangxi,38
qinghai,53
jiangsu,63
ningxia,61
sichuan,43
shan3xi,72
liaoning,66
guangdong,32
jilin,57
anhui,76
tianjin,62
shanghai,33
xizang,25
gansu,64
hebei,61
hainan,23
neimenggu,75
haerbin,53
yunnan,31
hubei,62
zhejiang,53
chongqing,39
xinjiang,63
henan,82
shan1xi,67
guizhou,30
fujian,38
jiangxi,38
