province,average
beijing,81
shandong,68
hunan,45
guangxi,56
qinghai,99
jiangsu,44
ningxia,86
sichuan,119
shan3xi,73
liaoning,58
guangdong,56
jilin,54
anhui,45
tianjin,69
shanghai,38
xizang,45
gansu,92
hebei,54
hainan,19
neimenggu,60
haerbin,43
yunnan,99
hubei,47
zhejiang,50
chongqing,110
xinjiang,49
henan,54
shan1xi,69
guizhou,90
fujian,67
jiangxi,47
