province,average
beijing,104
shandong,69
hunan,85
guangxi,70
qinghai,81
jiangsu,60
ningxia,72
sichuan,76
shan3xi,98
liaoning,63
guangdong,65
jilin,62
anhui,63
tianjin,81
shanghai,45
xizang,42
gansu,86
hebei,76
hainan,23
neimenggu,73
haerbin,61
yunnan,68
hubei,108
zhejiang,56
chongqing,77
xinjiang,93
henan,85
shan1xi,80
guizhou,86
fujian,70
jiangxi,79
