province,average
beijing,100
shandong,75
hunan,67
guangxi,53
qinghai,52
jiangsu,115
ningxia,59
sichuan,70
shan3xi,69
liaoning,68
guangdong,43
jilin,76
anhui,99
tianjin,71
shanghai,125
xizang,28
gansu,51
hebei,61
hainan,24
neimenggu,82
haerbin,53
yunnan,61
hubei,81
zhejiang,103
chongqing,74
xinjiang,79
henan,82
shan1xi,79
guizhou,60
fujian,81
jiangxi,81
