province,average
beijing,86
shandong,55
hunan,40
guangxi,33
qinghai,58
jiangsu,58
ningxia,119
sichuan,62
shan3xi,49
liaoning,72
guangdong,28
jilin,57
anhui,58
tianjin,77
shanghai,50
xizang,28
gansu,86
hebei,68
hainan,17
neimenggu,75
haerbin,52
yunnan,42
hubei,59
zhejiang,58
chongqing,47
xinjiang,65
henan,68
shan1xi,67
guizhou,51
fujian,39
jiangxi,49
