province,average
beijing,55
shandong,77
hunan,38
guangxi,58
qinghai,81
jiangsu,43
ningxia,126
sichuan,59
shan3xi,71
liaoning,77
guangdong,59
jilin,55
anhui,39
tianjin,54
shanghai,51
xizang,65
gansu,106
hebei,52
hainan,29
neimenggu,86
haerbin,53
yunnan,75
hubei,51
zhejiang,59
chongqing,49
xinjiang,58
henan,74
shan1xi,70
guizhou,38
fujian,82
jiangxi,28
