province,average
beijing,22
shandong,81
hunan,60
guangxi,61
qinghai,83
jiangsu,132
ningxia,101
sichuan,78
shan3xi,83
liaoning,40
guangdong,45
jilin,55
anhui,117
tianjin,67
shanghai,124
xizang,48
gansu,118
hebei,57
hainan,17
neimenggu,59
haerbin,61
yunnan,65
hubei,87
zhejiang,109
chongqing,78
xinjiang,69
henan,78
shan1xi,56
guizhou,79
fujian,56
jiangxi,68
