province,average
beijing,38
shandong,70
hunan,107
guangxi,97
qinghai,111
jiangsu,90
ningxia,79
sichuan,97
shan3xi,79
liaoning,65
guangdong,63
jilin,49
anhui,76
tianjin,57
shanghai,104
xizang,57
gansu,91
hebei,75
hainan,43
neimenggu,70
haerbin,64
yunnan,65
hubei,107
zhejiang,120
chongqing,125
xinjiang,113
henan,69
shan1xi,61
guizhou,92
fujian,71
jiangxi,95
