province,average
beijing,22
shandong,69
hunan,75
guangxi,45
qinghai,54
jiangsu,46
ningxia,70
sichuan,62
shan3xi,60
liaoning,57
guangdong,33
jilin,82
anhui,50
tianjin,70
shanghai,32
xizang,57
gansu,56
hebei,65
hainan,24
neimenggu,52
haerbin,61
yunnan,60
hubei,82
zhejiang,45
chongqing,59
xinjiang,70
henan,83
shan1xi,53
guizhou,55
fujian,43
jiangxi,34
