province,average
beijing,58
shandong,71
hunan,56
guangxi,53
qinghai,69
jiangsu,88
ningxia,56
sichuan,83
shan3xi,66
liaoning,56
guangdong,40
jilin,43
anhui,70
tianjin,68
shanghai,106
xizang,44
gansu,82
hebei,43
hainan,21
neimenggu,57
haerbin,54
yunnan,73
hubei,57
zhejiang,74
chongqing,93
xinjiang,87
henan,65
shan1xi,52
guizhou,73
fujian,32
jiangxi,63
