province,average
beijing,73
shandong,75
hunan,87
guangxi,92
qinghai,144
jiangsu,87
ningxia,83
sichuan,100
shan3xi,103
liaoning,79
guangdong,65
jilin,54
anhui,75
tianjin,86
shanghai,75
xizang,67
gansu,90
hebei,81
hainan,37
neimenggu,74
haerbin,64
yunnan,76
hubei,102
zhejiang,86
chongqing,108
xinjiang,104
henan,92
shan1xi,66
guizhou,120
fujian,68
jiangxi,91
