province,average
beijing,24
shandong,87
hunan,75
guangxi,46
qinghai,84
jiangsu,67
ningxia,72
sichuan,68
shan3xi,70
liaoning,61
guangdong,54
jilin,88
anhui,87
tianjin,54
shanghai,61
xizang,74
gansu,51
hebei,135
hainan,28
neimenggu,74
haerbin,74
yunnan,71
hubei,83
zhejiang,54
chongqing,64
xinjiang,94
henan,115
shan1xi,53
guizhou,52
fujian,70
jiangxi,70
