province,average
beijing,84
shandong,49
hunan,41
guangxi,25
qinghai,55
jiangsu,60
ningxia,89
sichuan,57
shan3xi,63
liaoning,69
guangdong,27
jilin,70
anhui,45
tianjin,78
shanghai,48
xizang,32
gansu,74
hebei,62
hainan,17
neimenggu,83
haerbin,50
yunnan,42
hubei,53
zhejiang,56
chongqing,37
xinjiang,81
henan,69
shan1xi,74
guizhou,52
fujian,47
jiangxi,46
