province,average
beijing,48
shandong,61
hunan,62
guangxi,69
qinghai,97
jiangsu,82
ningxia,87
sichuan,75
shan3xi,70
liaoning,68
guangdong,65
jilin,136
anhui,63
tianjin,59
shanghai,88
xizang,62
gansu,143
hebei,57
hainan,35
neimenggu,70
haerbin,67
yunnan,49
hubei,67
zhejiang,85
chongqing,77
xinjiang,60
henan,67
shan1xi,75
guizhou,37
fujian,67
jiangxi,63
