beijing,78
shandong,67
hunan,69
guangxi,78
qinghai,92
jiangsu,105
ningxia,89
sichuan,72
shan3xi,70
liaoning,75
guangdong,59
jilin,50
anhui,69
tianjin,55
shanghai,113
xizang,51
gansu,92
hebei,59
hainan,33
neimenggu,94
haerbin,41
yunnan,69
hubei,65
zhejiang,88
chongqing,75
xinjiang,97
henan,64
shan1xi,68
guizhou,86
fujian,57
jiangxi,67
