province,average
beijing,30
shandong,59
hunan,45
guangxi,43
qinghai,41
jiangsu,53
ningxia,37
sichuan,61
shan3xi,50
liaoning,38
guangdong,46
jilin,15
anhui,46
tianjin,53
shanghai,30
xizang,34
gansu,57
hebei,45
hainan,25
neimenggu,47
haerbin,36
yunnan,59
hubei,53
zhejiang,36
chongqing,45
xinjiang,65
henan,56
shan1xi,54
guizhou,55
fujian,25
jiangxi,52
