province,average
beijing,65
shandong,59
hunan,42
guangxi,37
qinghai,58
jiangsu,96
ningxia,45
sichuan,59
shan3xi,67
liaoning,57
guangdong,47
jilin,37
anhui,102
tianjin,94
shanghai,31
xizang,41
gansu,73
hebei,76
hainan,16
neimenggu,73
haerbin,48
yunnan,57
hubei,65
zhejiang,52
chongqing,59
xinjiang,50
henan,97
shan1xi,72
guizhou,32
fujian,52
jiangxi,37
