province,average
beijing,133
shandong,77
hunan,65
guangxi,71
qinghai,76
jiangsu,69
ningxia,70
sichuan,67
shan3xi,76
liaoning,73
guangdong,44
jilin,76
anhui,59
tianjin,150
shanghai,56
xizang,109
gansu,57
hebei,102
hainan,23
neimenggu,63
haerbin,82
yunnan,47
hubei,63
zhejiang,73
chongqing,57
xinjiang,50
henan,68
shan1xi,71
guizhou,60
fujian,43
jiangxi,56
