province,average
beijing,22
shandong,62
hunan,44
guangxi,48
qinghai,76
jiangsu,60
ningxia,52
sichuan,64
shan3xi,68
liaoning,67
guangdong,41
jilin,109
anhui,60
tianjin,54
shanghai,53
xizang,58
gansu,87
hebei,72
hainan,38
neimenggu,59
haerbin,60
yunnan,64
hubei,56
zhejiang,56
chongqing,62
xinjiang,71
henan,65
shan1xi,60
guizhou,47
fujian,36
jiangxi,40
