province,average
beijing,98
shandong,71
hunan,48
guangxi,42
qinghai,51
jiangsu,83
ningxia,56
sichuan,60
shan3xi,61
liaoning,61
guangdong,40
jilin,47
anhui,69
tianjin,120
shanghai,30
xizang,36
gansu,56
hebei,73
hainan,22
neimenggu,67
haerbin,52
yunnan,59
hubei,66
zhejiang,47
chongqing,47
xinjiang,42
henan,103
shan1xi,77
guizhou,45
fujian,36
jiangxi,61
