province,average
beijing,20
shandong,55
hunan,46
guangxi,61
qinghai,113
jiangsu,67
ningxia,72
sichuan,92
shan3xi,64
liaoning,65
guangdong,58
jilin,155
anhui,56
tianjin,53
shanghai,66
xizang,55
gansu,150
hebei,29
hainan,29
neimenggu,56
haerbin,77
yunnan,61
hubei,47
zhejiang,61
chongqing,94
xinjiang,100
henan,48
shan1xi,35
guizhou,78
fujian,60
jiangxi,62
