province,average
beijing,46
shandong,44
hunan,58
guangxi,55
qinghai,33
jiangsu,63
ningxia,59
sichuan,49
shan3xi,39
liaoning,41
guangdong,41
jilin,27
anhui,59
tianjin,45
shanghai,45
xizang,32
gansu,63
hebei,36
hainan,24
neimenggu,57
haerbin,48
yunnan,47
hubei,61
zhejiang,46
chongqing,36
xinjiang,55
henan,49
shan1xi,56
guizhou,53
fujian,38
jiangxi,58
