province,average
beijing,26
shandong,55
hunan,83
guangxi,63
qinghai,61
jiangsu,92
ningxia,73
sichuan,84
shan3xi,47
liaoning,56
guangdong,53
jilin,70
anhui,94
tianjin,34
shanghai,57
xizang,54
gansu,67
hebei,49
hainan,30
neimenggu,67
haerbin,73
yunnan,63
hubei,71
zhejiang,74
chongqing,78
xinjiang,62
henan,63
shan1xi,40
guizhou,67
fujian,53
jiangxi,79
