province,average
beijing,80
shandong,71
hunan,81
guangxi,63
qinghai,100
jiangsu,58
ningxia,64
sichuan,65
shan3xi,69
liaoning,68
guangdong,28
jilin,63
anhui,54
tianjin,112
shanghai,43
xizang,69
gansu,79
hebei,68
hainan,31
neimenggu,63
haerbin,73
yunnan,56
hubei,69
zhejiang,55
chongqing,47
xinjiang,62
henan,74
shan1xi,69
guizhou,82
fujian,28
jiangxi,67
