province,average
beijing,17
shandong,53
hunan,67
guangxi,44
qinghai,63
jiangsu,45
ningxia,60
sichuan,58
shan3xi,55
liaoning,51
guangdong,31
jilin,83
anhui,45
tianjin,53
shanghai,48
xizang,61
gansu,78
hebei,38
hainan,24
neimenggu,53
haerbin,90
yunnan,68
hubei,64
zhejiang,51
chongqing,46
xinjiang,78
henan,39
shan1xi,33
guizhou,60
fujian,40
jiangxi,56
