province,average
beijing,152
shandong,62
hunan,64
guangxi,41
qinghai,88
jiangsu,44
ningxia,67
sichuan,56
shan3xi,96
liaoning,58
guangdong,26
jilin,61
anhui,56
tianjin,79
shanghai,37
xizang,51
gansu,96
hebei,76
hainan,17
neimenggu,73
haerbin,75
yunnan,87
hubei,68
zhejiang,43
chongqing,55
xinjiang,81
henan,58
shan1xi,94
guizhou,62
fujian,30
jiangxi,50
