province,average
beijing,118
shandong,95
hunan,55
guangxi,58
qinghai,93
jiangsu,91
ningxia,61
sichuan,68
shan3xi,77
liaoning,96
guangdong,45
jilin,188
anhui,76
tianjin,120
shanghai,66
xizang,24
gansu,63
hebei,93
hainan,21
neimenggu,78
haerbin,78
yunnan,50
hubei,68
zhejiang,60
chongqing,63
xinjiang,56
henan,79
shan1xi,79
guizhou,72
fujian,51
jiangxi,53
