province,average
beijing,29
shandong,61
hunan,67
guangxi,58
qinghai,65
jiangsu,66
ningxia,44
sichuan,51
shan3xi,62
liaoning,55
guangdong,44
jilin,59
anhui,70
tianjin,51
shanghai,67
xizang,46
gansu,58
hebei,48
hainan,31
neimenggu,46
haerbin,55
yunnan,64
hubei,83
zhejiang,77
chongqing,58
xinjiang,81
henan,50
shan1xi,52
guizhou,58
fujian,55
jiangxi,77
