province,average
beijing,90
shandong,89
hunan,59
guangxi,67
qinghai,78
jiangsu,132
ningxia,80
sichuan,65
shan3xi,66
liaoning,94
guangdong,61
jilin,66
anhui,75
tianjin,146
shanghai,62
xizang,50
gansu,125
hebei,79
hainan,30
neimenggu,58
haerbin,71
yunnan,48
hubei,62
zhejiang,93
chongqing,49
xinjiang,76
henan,69
shan1xi,62
guizhou,68
fujian,66
jiangxi,61
