index,city,date,polluteNum,polluteType,polluteRank,polluteCond
宜宾,2012-05-01,60,可吸入颗粒物,Ⅱ,良	
贵阳,2012-05-01,77,可吸入颗粒物,Ⅱ,良	
遵义,2012-05-01,52,可吸入颗粒物,Ⅱ,良	
昆明,2012-05-01,43,--,Ⅰ,优	
曲靖,2012-05-01,52,二氧化硫,Ⅱ,良	
玉溪,2012-05-01,55,可吸入颗粒物,Ⅱ,良	
拉萨,2012-05-01,44,--,Ⅰ,优	
西安,2012-05-01,91,可吸入颗粒物,Ⅱ,良	
铜川,2012-05-01,76,可吸入颗粒物,Ⅱ,良	
宝鸡,2012-05-01,55,可吸入颗粒物,Ⅱ,良	
咸阳,2012-05-01,76,可吸入颗粒物,Ⅱ,良	
渭南,2012-05-01,94,可吸入颗粒物,Ⅱ,良	
延安,2012-05-01,70,可吸入颗粒物,Ⅱ,良	
兰州,2012-05-01,87,可吸入颗粒物,Ⅱ,良	
金昌,2012-05-01,66,可吸入颗粒物,Ⅱ,良	
西宁,2012-05-01,57,可吸入颗粒物,Ⅱ,良	
银川,2012-05-01,61,可吸入颗粒物,Ⅱ,良	
石嘴山,2012-05-01,54,可吸入颗粒物,Ⅱ,良	
乌鲁木齐,2012-05-01,68,可吸入颗粒物,Ⅱ,良	
克拉玛依,2012-05-01,37,--,Ⅰ,优	
