index,city,date,polluteNum,polluteType,polluteRank,polluteCond
攀枝花,2012-11-28,61,二氧化硫,Ⅱ,良	
泸州,2012-11-28,73,可吸入颗粒物,Ⅱ,良	
德阳,2012-11-28,64,可吸入颗粒物,Ⅱ,良	
绵阳,2012-11-28,66,可吸入颗粒物,Ⅱ,良	
南充,2012-11-28,65,二氧化硫,Ⅱ,良	
宜宾,2012-11-28,102,二氧化硫,Ⅲ1,轻微污染	
贵阳,2012-11-28,58,可吸入颗粒物,Ⅱ,良	
遵义,2012-11-28,57,二氧化硫,Ⅱ,良	
昆明,2012-11-28,65,可吸入颗粒物,Ⅱ,良	
曲靖,2012-11-28,40,--,Ⅰ,优	
玉溪,2012-11-28,65,二氧化硫,Ⅱ,良	
拉萨,2012-11-28,61,可吸入颗粒物,Ⅱ,良	
西安,2012-11-28,88,可吸入颗粒物,Ⅱ,良	
铜川,2012-11-28,76,可吸入颗粒物,Ⅱ,良	
宝鸡,2012-11-28,97,可吸入颗粒物,Ⅱ,良	
咸阳,2012-11-28,103,可吸入颗粒物,Ⅲ1,轻微污染	
渭南,2012-11-28,95,可吸入颗粒物,Ⅱ,良	
延安,2012-11-28,110,可吸入颗粒物,Ⅲ1,轻微污染	
兰州,2012-11-28,99,可吸入颗粒物,Ⅱ,良	
金昌,2012-11-28,90,可吸入颗粒物,Ⅱ,良	
西宁,2012-11-28,78,可吸入颗粒物,Ⅱ,良	
银川,2012-11-28,73,二氧化硫,Ⅱ,良	
石嘴山,2012-11-28,93,可吸入颗粒物,Ⅱ,良	
乌鲁木齐,2012-11-28,99,可吸入颗粒物,Ⅱ,良	
克拉玛依,2012-11-28,58,可吸入颗粒物,Ⅱ,良	
