index,city,date,polluteNum,polluteType,polluteRank,polluteCond
佛山,2012-05-06,57,可吸入颗粒物,Ⅱ,良	
湛江,2012-05-06,24,--,Ⅰ,优	
中山,2012-05-06,34,--,Ⅰ,优	
南宁,2012-05-06,48,--,Ⅰ,优	
柳州,2012-05-06,62,可吸入颗粒物,Ⅱ,良	
桂林,2012-05-06,58,可吸入颗粒物,Ⅱ,良	
北海,2012-05-06,47,--,Ⅰ,优	
海口,2012-05-06,24,--,Ⅰ,优	
三亚,2012-05-06,24,--,Ⅰ,优	
成都,2012-05-06,111,可吸入颗粒物,Ⅲ1,轻微污染	
重庆,2012-05-06,68,可吸入颗粒物,Ⅱ,良	
自贡,2012-05-06,59,可吸入颗粒物,Ⅱ,良	
攀枝花,2012-05-06,87,可吸入颗粒物,Ⅱ,良	
泸州,2012-05-06,66,可吸入颗粒物,Ⅱ,良	
德阳,2012-05-06,81,可吸入颗粒物,Ⅱ,良	
绵阳,2012-05-06,59,可吸入颗粒物,Ⅱ,良	
南充,2012-05-06,46,--,Ⅰ,优	
宜宾,2012-05-06,63,可吸入颗粒物,Ⅱ,良	
贵阳,2012-05-06,69,可吸入颗粒物,Ⅱ,良	
遵义,2012-05-06,51,可吸入颗粒物,Ⅱ,良	
昆明,2012-05-06,61,可吸入颗粒物,Ⅱ,良	
曲靖,2012-05-06,60,可吸入颗粒物,Ⅱ,良	
玉溪,2012-05-06,63,可吸入颗粒物,Ⅱ,良	
拉萨,2012-05-06,28,--,Ⅰ,优	
西安,2012-05-06,87,可吸入颗粒物,Ⅱ,良	
铜川,2012-05-06,57,可吸入颗粒物,Ⅱ,良	
宝鸡,2012-05-06,52,可吸入颗粒物,Ⅱ,良	
咸阳,2012-05-06,78,可吸入颗粒物,Ⅱ,良	
渭南,2012-05-06,75,可吸入颗粒物,Ⅱ,良	
延安,2012-05-06,68,可吸入颗粒物,Ⅱ,良	
兰州,2012-05-06,47,--,Ⅰ,优	
金昌,2012-05-06,56,可吸入颗粒物,Ⅱ,良	
西宁,2012-05-06,52,可吸入颗粒物,Ⅱ,良	
银川,2012-05-06,64,可吸入颗粒物,Ⅱ,良	
石嘴山,2012-05-06,55,可吸入颗粒物,Ⅱ,良	
乌鲁木齐,2012-05-06,100,可吸入颗粒物,Ⅱ,良	
克拉玛依,2012-05-06,58,可吸入颗粒物,Ⅱ,良	
