index,city,date,polluteNum,polluteType,polluteRank,polluteCond
贵阳,2012-05-02,53,可吸入颗粒物,Ⅱ,良	
遵义,2012-05-02,41,--,Ⅰ,优	
昆明,2012-05-02,64,可吸入颗粒物,Ⅱ,良	
曲靖,2012-05-02,61,二氧化硫,Ⅱ,良	
玉溪,2012-05-02,65,可吸入颗粒物,Ⅱ,良	
拉萨,2012-05-02,48,--,Ⅰ,优	
西安,2012-05-02,69,可吸入颗粒物,Ⅱ,良	
铜川,2012-05-02,56,可吸入颗粒物,Ⅱ,良	
宝鸡,2012-05-02,65,可吸入颗粒物,Ⅱ,良	
咸阳,2012-05-02,70,可吸入颗粒物,Ⅱ,良	
渭南,2012-05-02,63,可吸入颗粒物,Ⅱ,良	
延安,2012-05-02,56,二氧化硫,Ⅱ,良	
兰州,2012-05-02,83,可吸入颗粒物,Ⅱ,良	
金昌,2012-05-02,64,可吸入颗粒物,Ⅱ,良	
西宁,2012-05-02,64,可吸入颗粒物,Ⅱ,良	
银川,2012-05-02,61,可吸入颗粒物,Ⅱ,良	
石嘴山,2012-05-02,38,--,Ⅰ,优	
乌鲁木齐,2012-05-02,71,可吸入颗粒物,Ⅱ,良	
克拉玛依,2012-05-02,52,可吸入颗粒物,Ⅱ,良	
