index,city,date,polluteNum,polluteType,polluteRank,polluteCond
北京,2012-04-30,268,可吸入颗粒物,Ⅳ2,中度重污染	
天津,2012-04-30,137,可吸入颗粒物,Ⅲ1,轻微污染	
石家庄,2012-04-30,137,可吸入颗粒物,Ⅲ1,轻微污染	
唐山,2012-04-30,87,可吸入颗粒物,Ⅱ,良	
秦皇岛,2012-04-30,84,可吸入颗粒物,Ⅱ,良	
邯郸,2012-04-30,99,可吸入颗粒物,Ⅱ,良	
保定,2012-04-30,96,可吸入颗粒物,Ⅱ,良	
太原,2012-04-30,99,可吸入颗粒物,Ⅱ,良	
大同,2012-04-30,114,可吸入颗粒物,Ⅲ1,轻微污染	
阳泉,2012-04-30,121,可吸入颗粒物,Ⅲ1,轻微污染	
长治,2012-04-30,79,可吸入颗粒物,Ⅱ,良	
临汾,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
呼和浩特,2012-04-30,99,可吸入颗粒物,Ⅱ,良	
包头,2012-04-30,86,可吸入颗粒物,Ⅱ,良	
赤峰,2012-04-30,133,可吸入颗粒物,Ⅲ1,轻微污染	
沈阳,2012-04-30,98,可吸入颗粒物,Ⅱ,良	
大连,2012-04-30,48,--,Ⅰ,优	
鞍山,2012-04-30,85,可吸入颗粒物,Ⅱ,良	
抚顺,2012-04-30,79,可吸入颗粒物,Ⅱ,良	
本溪,2012-04-30,79,可吸入颗粒物,Ⅱ,良	
锦州,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
长春,2012-04-30,74,可吸入颗粒物,Ⅱ,良	
吉林,2012-04-30,82,可吸入颗粒物,Ⅱ,良	
哈尔滨,2012-04-30,65,可吸入颗粒物,Ⅱ,良	
齐齐哈尔,2012-04-30,113,可吸入颗粒物,Ⅲ1,轻微污染	
大庆,2012-04-30,55,可吸入颗粒物,Ⅱ,良	
牡丹江,2012-04-30,55,可吸入颗粒物,Ⅱ,良	
上海,2012-04-30,47,--,Ⅰ,优	
南京,2012-04-30,31,--,Ⅰ,优	
无锡,2012-04-30,64,可吸入颗粒物,Ⅱ,良	
